pid,trial_index,stimulus_song,target_song,emotion,arousal,valence,correct
3,7,audio/16_Restless.mp3,happy,happy,6,6,TRUE
3,8,audio/4_Make_Light.mp3,happy,relaxed,5,5,FALSE
3,9,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,relaxed,3,4,FALSE
3,10,audio/5_Valerie.mp3,happy,happy,6,7,TRUE
3,11,audio/25_Old_Blacktop.mp3,sad,relaxed,4,4,FALSE
3,12,audio/1_The_Sweetest.mp3,relaxed,relaxed,5,4,TRUE
3,13,audio/1_Skinny_Love.mp3,sad,sad,3,4,TRUE
3,14,audio/3_Old_Blacktop.mp3,sad,sad,4,3,TRUE
3,15,audio/5_Love's_Requiem.mp3,sad,sad,3,3,TRUE
3,16,audio/2_Incomplete.mp3,angry,happy,6,5,FALSE
3,17,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,relaxed,6,5,FALSE
3,18,audio/23_Inside.mp3,sad,relaxed,4,4,FALSE
3,19,audio/9_Pain_(Live_Version).mp3,angry,happy,6,5,FALSE
3,20,audio/2_Love's_Requiem.mp3,sad,relaxed,3,5,FALSE
3,21,audio/1_Be_Happy.mp3,happy,none of these,5,5,FALSE
3,22,audio/12_Skank_Down.mp3,happy,angry,6,5,FALSE
3,23,audio/2_Blood_On_The_Ground.mp3,angry,angry,4,3,TRUE
3,24,audio/5_Get_Lucky.mp3,happy,relaxed,4,5,FALSE
3,25,audio/7_Digital.mp3,relaxed,relaxed,4,4,TRUE
3,26,audio/12_Skinny_Love.mp3,sad,sad,3,4,TRUE
3,27,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,none of these,4,4,FALSE
3,28,audio/8_Restless.mp3,happy,happy,6,6,TRUE
3,29,audio/4_Mbube.mp3,relaxed,relaxed,5,5,TRUE
3,30,audio/4_Come_On_Baby.mp3,relaxed,relaxed,3,5,TRUE
3,31,audio/28_Valerie.mp3,happy,angry,6,5,FALSE
3,32,audio/15_Here_Today.mp3,sad,relaxed,2,5,FALSE
3,33,audio/2_Boser_Wolf.mp3,sad,relaxed,5,4,FALSE
3,34,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,2,6,TRUE
3,35,audio/26_Make_Light.mp3,happy,happy,5,5,TRUE
3,36,audio/11_Be_Happy.mp3,happy,happy,6,6,TRUE
3,37,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,3,3,TRUE
3,38,audio/13_Motown_Junk.mp3,angry,angry,5,5,TRUE
3,39,audio/2_Inside.mp3,sad,relaxed,3,5,FALSE
3,40,audio/13_Boser_Wolf.mp3,sad,none of these,5,5,FALSE
3,41,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,relaxed,4,5,FALSE
